gene	effectSize	effectSizeStandardError	effectSizePval	effectSizeFDR	tauSquared	numStudies	cochranesQ	heterogeneityPval	fisherStatUp	fisherPvalUp	fisherFDRUp	fisherStatDown	fisherPvalDown	fisherFDRDown
BAP1	0.6061902761031781	0.8831703518928662	0.49247364868330473	0.9997238785431705	0.9517343974694177	2	2.5244558698471327	0.11209344119293696	9.384597762705585	0.05217328516830232	0.35696221047561333	2.367293282633681	0.6685457882340619	0.9999854341075632
KIAA0196	0.5265851202225231	0.7672924288646608	0.49253025430397196	0.9997238785431705	0.5969189927237235	2	1.9846888486808707	0.1588973165642924	8.036289701302689	0.09025786516607237	0.3825501331112217	2.3676874304026594	0.6684743725993127	0.9999854341075632
HSD17B6	0.3426935772838393	0.49947633297819377	0.49264643379722856	0.9997238785431705	0	2	0.3128581726871176	0.5759315695525622	5.6324883809287485	0.2283267760764272	0.46097885531894106	1.2980430135319159	0.8617074759442226	0.9999854341075632
RBM4	0.4114705086008451	0.5997740608217444	0.4926862953306011	0.9997238785431705	0.18306244304264938	2	1.3121563781723782	0.25200460222280163	6.108526699074732	0.19118870713727307	0.4410157948024833	2.470464242395028	0.6499323222259168	0.9999854341075632
AX747819	0.5837317438654986	0.8509947558451562	0.492750647774851	0.9997238785431705	0.8477636206067133	2	2.3696709388506974	0.12371312647743293	9.008113973391936	0.06089698989915955	0.36413243919271715	2.364830452704799	0.6689920777679901	0.9999854341075632
PTPN22	-1.6724720797410295	2.4386976365375825	0.4928358121144578	0.9997238785431705	9.280327015625353	2	3.8013176261948494	0.051212267521500765	2.222631034383728	0.6948882094162899	0.7556440926784026	14.311835507532743	0.006363517520576519	0.7129859074977573
ZNF131	-0.7933823319144545	1.1572417544937452	0.49297770819743914	0.9997238785431705	1.7157760690652981	2	2.3956411977389784	0.12167385192662283	1.5775796327295262	0.8128160096820531	0.8503076427198176	9.867833432305336	0.04271384256602428	0.838814774862465
MYL2	0.6557954330626009	0.9566997403570389	0.4930431242988085	0.9997238785431705	1.2049278690713658	2	2.8901697095746455	0.08912153721270333	10.224781493849205	0.03680679640293213	0.35271036370496145	2.3868751593381474	0.6650004275428506	0.9999854341075632
ENOX1	0.36533324546511403	0.5330132922613636	0.49308451968535727	0.9997238785431705	0.05251380145965203	2	1.0903649581960582	0.29639036008758934	5.370138911145263	0.251382377705176	0.4740859717072583	2.5691773117461514	0.6322928214589753	0.9999854341075632
POLR2A	0.3569709013112905	0.5208188782432228	0.49308955494381007	0.9997238785431705	0.030871410973442783	2	1.0531952508944424	0.3047723379200856	5.239297371094801	0.2636133816623716	0.4810441102226449	2.5917527728277947	0.6282847774162273	0.9999854341075632
TRIT1	0.3368934132009038	0.4916878947038881	0.49323200907210046	0.9997238785431705	0	2	0.15518990465615992	0.6936242308139978	4.70705455940954	0.31869696888266846	0.5073059026040244	1.7210551774277985	0.7868894651143682	0.9999854341075632
LOC1720	-0.3388577472702993	0.49455625704139855	0.49323328851866743	0.9997238785431705	0	2	0.4085430346669662	0.5227099312028789	2.011613270095504	0.7336227526556921	0.786350013455721	4.775921618607806	0.31107146565985316	0.9999854341075632
GFPT2	0.33983959534865876	0.4959903429387038	0.49323424540016086	0.9997238785431705	0	2	0.1604594292093953	0.6887338833718013	5.314972333220376	0.25647858813727675	0.47720942853625264	1.3098139039728267	0.8597082709548112	0.9999854341075632
MARCKS	0.34187135250905565	0.4989642767103133	0.49324171168463	0.9997238785431705	0	2	0.7407284201844929	0.3894276390421315	4.920707681534454	0.29553057144850736	0.4963615503617402	2.3603440872976758	0.6698052698498723	0.9999854341075632
SATB2	-0.44409284227665224	0.6484712441085444	0.49345092943680313	0.9997238785431705	0.2909291818781537	2	1.4919783304727976	0.221909764244817	2.4261782287562847	0.6579016772227848	0.7281689536232259	6.654131465866656	0.1553342425112866	0.9979230012263214
MMP10	0.768861545933503	1.1234123994227558	0.4937236838300563	0.9997238785431705	1.5903747092046323	2	2.332385292558851	0.12670758715250607	9.711708268957524	0.045574256748803346	0.35305456926991835	1.5662243345100626	0.8148494383178435	0.9999854341075632
SSFA2	0.3414244816649785	0.4989015486765366	0.4937526538413417	0.9997238785431705	0	2	0.7369265406031544	0.390647198997095	4.915881829546004	0.2960379527315594	0.49663460360374306	2.358018401417736	0.6702269300946676	0.9999854341075632
